"Agrupación","AverageShortestPathLength","BetweennessCentrality","Categoría","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Grupo Regional","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","ODS","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Malawi","Malawi","0.0","0","0","","0","Infinity","false","0","Malawi","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Malasia","Malasia","0.0","0","0","","0","Infinity","false","0","Malasia","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Madagascar","Madagascar","0.0","0","0","","0","Infinity","false","0","Madagascar","0","0.0"
"EFS","2.8396946564885495","0.009731814735705094","","0.3521505376344086","0.0","10","5","ASOSAI","false","Macedonia del Norte ","Macedonia del Norte ","18.88888888888889","0","10","","1","0.9780988731370411","false","0","Macedonia del Norte ","52634","0.22085048010973937"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Luxemburgo","Luxemburgo","0.0","0","0","","0","Infinity","false","0","Luxemburgo","0","0.0"
"EFS","2.9770992366412212","0.002845181156752481","","0.3358974358974359","0.0","6","5","OLACEFS","false","Lituania","Lituania","18.833333333333332","0","6","","0","0.9764631043256997","false","0","Lituania","14742","0.26616915422885573"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Liechtenstein","Liechtenstein","0.0","0","0","","0","Infinity","false","0","Liechtenstein","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Libia","Libia","0.0","0","0","","0","Infinity","false","0","Libia","0","0.0"
"EFS","3.50381679389313","1.4739603816062716E-4","","0.28540305010893247","0.0","2","6","AFROSAI","false","Liberia","Liberia","19.0","0","2","","0","0.9701926572155579","false","0","Liberia","2106","0.72"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Libano","Libano","0.0","0","0","","0","Infinity","false","0","Libano","0","0.0"
"EFS","2.954198473282443","0.004304413772155966","","0.33850129198966405","0.0","9","5","OLACEFS","false","Letonia","Letonia","15.625","0","9","","1","0.9767357324609233","false","0","Letonia","20484","0.21507352941176472"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Lesotho","Lesotho","0.0","0","0","","0","Infinity","false","0","Lesotho","0","0.0"
"EFS","3.8473282442748094","8.574376315433468E-4","","0.2599206349206349","0.0","2","6","ARABOSAI","false","Kuwait","Kuwait","6.0","0","2","","0","0.9661032351872046","false","0","Kuwait","17870","0.5555555555555556"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Kosovo","Kosovo","0.0","0","0","","0","Infinity","false","0","Kosovo","0","0.0"
"EFS","3.7709923664122136","4.2714371618594085E-4","","0.2651821862348178","0.0","2","6","PASAI","false","Kiribati","Kiribati","12.5","0","2","","0","0.9670119956379498","false","0","Kiribati","27814","0.8214285714285714"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Kirguistan","Kirguistan","0.0","0","0","","0","Infinity","false","0","Kirguistan","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Kenia","Kenia","0.0","0","0","","0","Infinity","false","0","Kenia","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Kazajstan","Kazajstan","0.0","0","0","","0","Infinity","false","0","Kazajstan","0","0.0"
"EFS","3.7709923664122136","0.002819288142289359","","0.2651821862348178","0.0","5","6","ARABOSAI","false","Jordania","Jordania","5.0","0","5","","1","0.9670119956379498","false","0","Jordania","47748","0.36363636363636365"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Japon","Japon","0.0","0","0","","0","Infinity","false","0","Japon","0","0.0"
"EFS","3.7404580152671754","0.0020363719037748184","","0.26734693877551025","0.0","3","6","CAROSAI","false","Jamaica","Jamaica","4.666666666666667","0","3","","0","0.9673754998182479","false","0","Jamaica","15936","0.3333333333333333"
"EFS","3.3282442748091605","0.0018031035728915854","","0.30045871559633025","0.0","4","6","ASOSAI","false","Italia","Italia","15.5","0","4","","0","0.9722828062522718","false","0","Italia","5268","0.32954545454545453"
"EFS","3.030534351145038","0.003240974525032961","","0.32997481108312343","0.0","4","6","ASOSAI","false","Israel","Israel","22.5","0","4","","0","0.9758269720101781","false","0","Israel","16774","0.32575757575757575"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Islas Virgenes Britanica","Islas Virgenes Britanica","0.0","0","0","","0","Infinity","false","0","Islas Virgenes Britanica","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Islas Turcas y Caicos","Islas Turcas y Caicos","0.0","0","0","","0","Infinity","false","0","Islas Turcas y Caicos","0","0.0"
"EFS","3.763358778625954","9.181417218708838E-4","","0.2657200811359026","0.0","3","6","PASAI","false","Islas Salomon","Islas Salomon","9.666666666666666","0","3","","0","0.9671028716830243","false","0","Islas Salomon","48626","0.6190476190476191"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Islas Marshall","Islas Marshall","0.0","0","0","","0","Infinity","false","0","Islas Marshall","0","0.0"
"EFS","3.7709923664122136","4.2714371618594085E-4","","0.2651821862348178","0.0","2","6","PASAI","false","Islas Cook","Islas Cook","12.5","0","2","","0","0.9670119956379498","false","0","Islas Cook","27814","0.8214285714285714"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Islas Caiman","Islas Caiman","0.0","0","0","","0","Infinity","false","0","Islas Caiman","0","0.0"
"EFS","3.114503816793893","2.522383243327687E-4","","0.32107843137254904","0.0","2","6","OLACEFS","false","Islandia","Islandia","30.5","0","2","","0","0.9748273355143583","false","0","Islandia","3908","0.5267857142857143"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Irlanda","Irlanda","0.0","0","0","","0","Infinity","false","0","Irlanda","0","0.0"
"EFS","3.8396946564885495","9.59205244881508E-4","","0.26043737574552683","0.0","2","6","ARABOSAI","false","Iraq","Iraq","5.5","0","2","","0","0.9661941112322792","false","0","Iraq","20630","0.5"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Iran","Iran","0.0","0","0","","0","Infinity","false","0","Iran","0","0.0"
"EFS","3.6412213740458017","4.150862149739636E-4","","0.2746331236897275","0.0","2","6","ASOSAI","false","Indonesia","Indonesia","9.5","0","2","","0","0.9685568884042167","false","0","Indonesia","1982","0.5"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","India","India","0.0","0","0","","0","Infinity","false","0","India","0","0.0"
"EFS","2.9236641221374047","0.00434049070321754","","0.34203655352480417","0.0","11","5","EUROSAI","false","Hungria","Hungria","17.22222222222222","0","11","","2","0.9770992366412213","false","0","Hungria","27524","0.22848200312989045"
"EFS","2.786259541984733","0.012055333419587136","","0.35890410958904106","0.0","27","5","OLACEFS","false","Honduras","Honduras","16.77777777777778","0","27","","0","0.9787350054525626","false","0","Honduras","195448","0.2253968253968254"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Haiti","Haiti","0.0","0","0","","0","Infinity","false","0","Haiti","0","0.0"
"EFS","3.7404580152671754","0.0012403843265286329","","0.26734693877551025","0.0","2","6","CAROSAI","false","Guyana","Guyana","8.5","0","2","","0","0.9673754998182479","false","0","Guyana","13010","0.6818181818181818"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Guinea Ecuatorial","Guinea Ecuatorial","0.0","0","0","","0","Infinity","false","0","Guinea Ecuatorial","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Guinea Bissau","Guinea Bissau","0.0","0","0","","0","Infinity","false","0","Guinea Bissau","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Guinea","Guinea","0.0","0","0","","0","Infinity","false","0","Guinea","0","0.0"
"EFS","2.8396946564885495","0.009261777526018212","","0.3521505376344086","0.0","22","5","OLACEFS","false","Guatemala","Guatemala","17.136363636363637","0","22","","0","0.9780988731370411","false","0","Guatemala","150926","0.23729946524064172"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Guam","Guam","0.0","0","0","","0","Infinity","false","0","Guam","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Grecia","Grecia","0.0","0","0","","0","Infinity","false","0","Grecia","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Granada","Granada","0.0","0","0","","0","Infinity","false","0","Granada","0","0.0"
"EFS","3.3435114503816794","3.4589463392554505E-4","","0.2990867579908676","0.0","2","6","AFROSAI","false","Ghana","Ghana","20.0","0","2","","0","0.9721010541621228","false","0","Ghana","2686","0.59375"
"EFS","2.954198473282443","0.0035814861679879535","","0.33850129198966405","0.0","7","5","EUROSAI","false","Georgia","Georgia","19.333333333333332","0","7","","1","0.9767357324609233","false","0","Georgia","21308","0.26570048309178745"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Gambia","Gambia","0.0","0","0","","0","Infinity","false","0","Gambia","0","0.0"
"EFS","0.0","0.0","","0.0","0.0","0","0","","true","Gabon","Gabon","0.0","0","0","","0","Infinity","false","0","Gabon","0","0.0"
"EFS","3.4732824427480917","4.322343156969144E-4","","0.2879120879120879","0.0","2","7","OLACEFS","false","Francia","Francia","29.5","0","2","","0","0.9705561613958561","false","0","Francia","1670","0.5377358490566038"
